Sheet,Industry,Persona ID,Persona Label,Field,Value
,,,,,
=== SHEET 1: PERSONA OVERVIEW ===,,,,,
Overview,Beauty & Wellness,hair-salon,Hair Salon / Hairstylist,Suggested Team Size,2-5
Overview,Beauty & Wellness,hair-salon,Hair Salon / Hairstylist,Workflow Pattern,booking-first
Overview,Beauty & Wellness,hair-salon,Hair Salon / Hairstylist,Home Page,bookings
Overview,Beauty & Wellness,hair-salon,Hair Salon / Hairstylist,Primary Action,"Book Appointment"
Overview,Beauty & Wellness,barber,Barber / Barbershop,Suggested Team Size,2-5
Overview,Beauty & Wellness,barber,Barber / Barbershop,Workflow Pattern,booking-first
Overview,Beauty & Wellness,barber,Barber / Barbershop,Home Page,bookings
Overview,Beauty & Wellness,barber,Barber / Barbershop,Primary Action,"Book Appointment"
Overview,Beauty & Wellness,nail-tech,Nail Tech / Nail Salon,Suggested Team Size,Just me
Overview,Beauty & Wellness,nail-tech,Nail Tech / Nail Salon,Workflow Pattern,booking-first
Overview,Beauty & Wellness,nail-tech,Nail Tech / Nail Salon,Home Page,bookings
Overview,Beauty & Wellness,nail-tech,Nail Tech / Nail Salon,Primary Action,"Book Appointment"
Overview,Beauty & Wellness,lash-brow-tech,Lash & Brow Tech,Suggested Team Size,Just me
Overview,Beauty & Wellness,lash-brow-tech,Lash & Brow Tech,Workflow Pattern,booking-first
Overview,Beauty & Wellness,lash-brow-tech,Lash & Brow Tech,Home Page,bookings
Overview,Beauty & Wellness,lash-brow-tech,Lash & Brow Tech,Primary Action,"Book Appointment"
Overview,Beauty & Wellness,makeup-artist,Makeup Artist,Suggested Team Size,Just me
Overview,Beauty & Wellness,makeup-artist,Makeup Artist,Workflow Pattern,inquiry-first
Overview,Beauty & Wellness,makeup-artist,Makeup Artist,Home Page,leads
Overview,Beauty & Wellness,makeup-artist,Makeup Artist,Primary Action,"New Inquiry"
Overview,Beauty & Wellness,spa-massage,Spa / Massage,Suggested Team Size,2-5
Overview,Beauty & Wellness,spa-massage,Spa / Massage,Workflow Pattern,booking-first
Overview,Beauty & Wellness,spa-massage,Spa / Massage,Home Page,bookings
Overview,Beauty & Wellness,spa-massage,Spa / Massage,Primary Action,"Book Appointment"
Overview,Trades & Construction,electrician,Electrician,Suggested Team Size,2-5
