Persona ID,Persona Label,Question #,Question Text,Module Activated,Always On Modules
hair-salon,"Hair Salon / Hairstylist",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
hair-salon,"Hair Salon / Hairstylist",2,"Do you manage projects or jobs?",jobs-projects,
hair-salon,"Hair Salon / Hairstylist",3,"Do you sell products or services?",products,
hair-salon,"Hair Salon / Hairstylist",4,"Do you run marketing or promotions?",marketing,
hair-salon,"Hair Salon / Hairstylist",5,"Do you have a team?",team,
hair-salon,"Hair Salon / Hairstylist",6,"Would you like to automate repetitive tasks?",automations,
hair-salon,"Hair Salon / Hairstylist",7,"Do you want dashboards and reports?",reporting,
barber,"Barber / Barbershop",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
barber,"Barber / Barbershop",2,"Do you manage projects or jobs?",jobs-projects,
barber,"Barber / Barbershop",3,"Do you sell products or services?",products,
barber,"Barber / Barbershop",4,"Do you run marketing or promotions?",marketing,
barber,"Barber / Barbershop",5,"Do you have a team?",team,
barber,"Barber / Barbershop",6,"Would you like to automate repetitive tasks?",automations,
barber,"Barber / Barbershop",7,"Do you want dashboards and reports?",reporting,
nail-tech,"Nail Tech / Nail Salon",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
nail-tech,"Nail Tech / Nail Salon",2,"Do you manage projects or jobs?",jobs-projects,
nail-tech,"Nail Tech / Nail Salon",3,"Do you sell products or services?",products,
nail-tech,"Nail Tech / Nail Salon",4,"Do you run marketing or promotions?",marketing,
nail-tech,"Nail Tech / Nail Salon",5,"Do you have a team?",team,
nail-tech,"Nail Tech / Nail Salon",6,"Would you like to automate repetitive tasks?",automations,
nail-tech,"Nail Tech / Nail Salon",7,"Do you want dashboards and reports?",reporting,
lash-brow-tech,"Lash & Brow Tech",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
lash-brow-tech,"Lash & Brow Tech",2,"Do you manage projects or jobs?",jobs-projects,
lash-brow-tech,"Lash & Brow Tech",3,"Do you sell products or services?",products,
lash-brow-tech,"Lash & Brow Tech",4,"Do you run marketing or promotions?",marketing,
lash-brow-tech,"Lash & Brow Tech",5,"Do you have a team?",team,
lash-brow-tech,"Lash & Brow Tech",6,"Would you like to automate repetitive tasks?",automations,
lash-brow-tech,"Lash & Brow Tech",7,"Do you want dashboards and reports?",reporting,
makeup-artist,"Makeup Artist",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
makeup-artist,"Makeup Artist",2,"Do you manage projects or jobs?",jobs-projects,
makeup-artist,"Makeup Artist",3,"Do you sell products or services?",products,
makeup-artist,"Makeup Artist",4,"Do you run marketing or promotions?",marketing,
makeup-artist,"Makeup Artist",5,"Do you have a team?",team,
makeup-artist,"Makeup Artist",6,"Would you like to automate repetitive tasks?",automations,
makeup-artist,"Makeup Artist",7,"Do you want dashboards and reports?",reporting,
spa-massage,"Spa / Massage",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
spa-massage,"Spa / Massage",2,"Do you manage projects or jobs?",jobs-projects,
spa-massage,"Spa / Massage",3,"Do you sell products or services?",products,
spa-massage,"Spa / Massage",4,"Do you run marketing or promotions?",marketing,
spa-massage,"Spa / Massage",5,"Do you have a team?",team,
spa-massage,"Spa / Massage",6,"Would you like to automate repetitive tasks?",automations,
spa-massage,"Spa / Massage",7,"Do you want dashboards and reports?",reporting,
plumber,"Plumber",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
plumber,"Plumber",2,"Do you manage projects or jobs?",jobs-projects,
plumber,"Plumber",3,"Do you sell products or services?",products,
plumber,"Plumber",4,"Do you run marketing or promotions?",marketing,
plumber,"Plumber",5,"Do you have a team?",team,
plumber,"Plumber",6,"Would you like to automate repetitive tasks?",automations,
plumber,"Plumber",7,"Do you want dashboards and reports?",reporting,
electrician,"Electrician",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
electrician,"Electrician",2,"Do you manage projects or jobs?",jobs-projects,
electrician,"Electrician",3,"Do you sell products or services?",products,
electrician,"Electrician",4,"Do you run marketing or promotions?",marketing,
electrician,"Electrician",5,"Do you have a team?",team,
electrician,"Electrician",6,"Would you like to automate repetitive tasks?",automations,
electrician,"Electrician",7,"Do you want dashboards and reports?",reporting,
builder-carpenter,"Builder / Carpenter",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
builder-carpenter,"Builder / Carpenter",2,"Do you manage projects or jobs?",jobs-projects,
builder-carpenter,"Builder / Carpenter",3,"Do you sell products or services?",products,
builder-carpenter,"Builder / Carpenter",4,"Do you run marketing or promotions?",marketing,
builder-carpenter,"Builder / Carpenter",5,"Do you have a team?",team,
builder-carpenter,"Builder / Carpenter",6,"Would you like to automate repetitive tasks?",automations,
builder-carpenter,"Builder / Carpenter",7,"Do you want dashboards and reports?",reporting,
painter,"Painter",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
painter,"Painter",2,"Do you manage projects or jobs?",jobs-projects,
painter,"Painter",3,"Do you sell products or services?",products,
painter,"Painter",4,"Do you run marketing or promotions?",marketing,
painter,"Painter",5,"Do you have a team?",team,
painter,"Painter",6,"Would you like to automate repetitive tasks?",automations,
painter,"Painter",7,"Do you want dashboards and reports?",reporting,
hvac-technician,"HVAC Technician",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
hvac-technician,"HVAC Technician",2,"Do you manage projects or jobs?",jobs-projects,
hvac-technician,"HVAC Technician",3,"Do you sell products or services?",products,
hvac-technician,"HVAC Technician",4,"Do you run marketing or promotions?",marketing,
hvac-technician,"HVAC Technician",5,"Do you have a team?",team,
hvac-technician,"HVAC Technician",6,"Would you like to automate repetitive tasks?",automations,
hvac-technician,"HVAC Technician",7,"Do you want dashboards and reports?",reporting,
landscaper,"Landscaper",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
landscaper,"Landscaper",2,"Do you manage projects or jobs?",jobs-projects,
landscaper,"Landscaper",3,"Do you sell products or services?",products,
landscaper,"Landscaper",4,"Do you run marketing or promotions?",marketing,
landscaper,"Landscaper",5,"Do you have a team?",team,
landscaper,"Landscaper",6,"Would you like to automate repetitive tasks?",automations,
landscaper,"Landscaper",7,"Do you want dashboards and reports?",reporting,
cleaner,"Cleaner",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
cleaner,"Cleaner",2,"Do you manage projects or jobs?",jobs-projects,
cleaner,"Cleaner",3,"Do you sell products or services?",products,
cleaner,"Cleaner",4,"Do you run marketing or promotions?",marketing,
cleaner,"Cleaner",5,"Do you have a team?",team,
cleaner,"Cleaner",6,"Would you like to automate repetitive tasks?",automations,
cleaner,"Cleaner",7,"Do you want dashboards and reports?",reporting,
accountant-bookkeeper,"Accountant / Bookkeeper",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
accountant-bookkeeper,"Accountant / Bookkeeper",2,"Do you manage projects or jobs?",jobs-projects,
accountant-bookkeeper,"Accountant / Bookkeeper",3,"Do you sell products or services?",products,
accountant-bookkeeper,"Accountant / Bookkeeper",4,"Do you run marketing or promotions?",marketing,
accountant-bookkeeper,"Accountant / Bookkeeper",5,"Do you have a team?",team,
accountant-bookkeeper,"Accountant / Bookkeeper",6,"Would you like to automate repetitive tasks?",automations,
accountant-bookkeeper,"Accountant / Bookkeeper",7,"Do you want dashboards and reports?",reporting,
